,,home_goals,home_goals,home_goals,away_goals,away_goals,away_goals
,,sum,mean,size,sum,mean,size
home_team,away_team,,,,,,
AFCBournemouth,Arsenal,1,1,1,2,2,1
AFCBournemouth,BrightonandHoveAlbion,2,2,1,0,0,1
AFCBournemouth,Burnley,1,1,1,3,3,1
AFCBournemouth,CardiffCity,2,2,1,0,0,1
AFCBournemouth,Chelsea,4,4,1,0,0,1
AFCBournemouth,CrystalPalace,2,2,1,1,1,1
AFCBournemouth,Everton,2,2,1,2,2,1
AFCBournemouth,Fulham,0,0,1,1,1,1
AFCBournemouth,HuddersfieldTownAFC,2,2,1,1,1,1
AFCBournemouth,LeicesterCity,4,4,1,2,2,1
AFCBournemouth,Liverpool,0,0,1,4,4,1
AFCBournemouth,ManchesterCity,0,0,1,1,1,1
AFCBournemouth,ManchesterUnited,1,1,1,2,2,1
AFCBournemouth,NewcastleUnited,2,2,1,2,2,1
AFCBournemouth,Southampton,0,0,1,0,0,1
AFCBournemouth,TottenhamHotspur,1,1,1,0,0,1
AFCBournemouth,Watford,3,3,1,3,3,1
AFCBournemouth,WestHamUnited,2,2,1,0,0,1
AFCBournemouth,WolverhamptonWanderers,1,1,1,1,1,1
Arsenal,AFCBournemouth,5,5,1,1,1,1
Arsenal,BrightonandHoveAlbion,1,1,1,1,1,1
Arsenal,Burnley,3,3,1,1,1,1
Arsenal,CardiffCity,2,2,1,1,1,1
Arsenal,Chelsea,2,2,1,0,0,1
Arsenal,CrystalPalace,2,2,1,3,3,1
Arsenal,Everton,2,2,1,0,0,1
Arsenal,Fulham,4,4,1,1,1,1
Arsenal,HuddersfieldTownAFC,1,1,1,0,0,1
Arsenal,LeicesterCity,3,3,1,1,1,1
Arsenal,Liverpool,1,1,1,1,1,1
Arsenal,ManchesterCity,0,0,1,2,2,1
Arsenal,ManchesterUnited,2,2,1,0,0,1
Arsenal,NewcastleUnited,2,2,1,0,0,1
Arsenal,Southampton,2,2,1,0,0,1
Arsenal,TottenhamHotspur,4,4,1,2,2,1
Arsenal,Watford,2,2,1,0,0,1
Arsenal,WestHamUnited,3,3,1,1,1,1
Arsenal,WolverhamptonWanderers,1,1,1,1,1,1
BrightonandHoveAlbion,AFCBournemouth,0,0,1,5,5,1
BrightonandHoveAlbion,Arsenal,1,1,1,1,1,1
BrightonandHoveAlbion,Burnley,1,1,1,3,3,1
BrightonandHoveAlbion,CardiffCity,0,0,1,2,2,1
BrightonandHoveAlbion,Chelsea,1,1,1,2,2,1
BrightonandHoveAlbion,CrystalPalace,3,3,1,1,1,1
BrightonandHoveAlbion,Everton,1,1,1,0,0,1
BrightonandHoveAlbion,Fulham,2,2,1,2,2,1
BrightonandHoveAlbion,HuddersfieldTownAFC,1,1,1,0,0,1
BrightonandHoveAlbion,LeicesterCity,1,1,1,1,1,1
BrightonandHoveAlbion,Liverpool,0,0,1,1,1,1
BrightonandHoveAlbion,ManchesterCity,1,1,1,4,4,1
BrightonandHoveAlbion,ManchesterUnited,3,3,1,2,2,1
BrightonandHoveAlbion,NewcastleUnited,1,1,1,1,1,1
BrightonandHoveAlbion,Southampton,0,0,1,1,1,1
BrightonandHoveAlbion,TottenhamHotspur,1,1,1,2,2,1
BrightonandHoveAlbion,Watford,0,0,1,0,0,1
BrightonandHoveAlbion,WestHamUnited,1,1,1,0,0,1
BrightonandHoveAlbion,WolverhamptonWanderers,1,1,1,0,0,1
Burnley,AFCBournemouth,4,4,1,0,0,1
Burnley,Arsenal,1,1,1,3,3,1
Burnley,BrightonandHoveAlbion,1,1,1,0,0,1
Burnley,CardiffCity,2,2,1,0,0,1
Burnley,Chelsea,0,0,1,4,4,1
Burnley,CrystalPalace,1,1,1,3,3,1
Burnley,Everton,1,1,1,5,5,1
Burnley,Fulham,2,2,1,1,1,1
Burnley,HuddersfieldTownAFC,1,1,1,1,1,1
Burnley,LeicesterCity,1,1,1,2,2,1
Burnley,Liverpool,1,1,1,3,3,1
Burnley,ManchesterCity,0,0,1,1,1,1
Burnley,ManchesterUnited,0,0,1,2,2,1
Burnley,NewcastleUnited,1,1,1,2,2,1
Burnley,Southampton,1,1,1,1,1,1
Burnley,TottenhamHotspur,2,2,1,1,1,1
Burnley,Watford,1,1,1,3,3,1
Burnley,WestHamUnited,2,2,1,0,0,1
Burnley,WolverhamptonWanderers,2,2,1,0,0,1
CardiffCity,AFCBournemouth,2,2,1,0,0,1
CardiffCity,Arsenal,2,2,1,3,3,1
CardiffCity,BrightonandHoveAlbion,2,2,1,1,1,1
CardiffCity,Burnley,1,1,1,2,2,1
CardiffCity,Chelsea,2,2,1,0,0,1
CardiffCity,CrystalPalace,2,2,1,3,3,1
CardiffCity,Everton,0,0,1,3,3,1
CardiffCity,Fulham,4,4,1,2,2,1
CardiffCity,HuddersfieldTownAFC,0,0,1,0,0,1
CardiffCity,LeicesterCity,0,0,1,1,1,1
CardiffCity,Liverpool,0,0,1,2,2,1
CardiffCity,ManchesterCity,0,0,1,5,5,1
CardiffCity,ManchesterUnited,1,1,1,5,5,1
CardiffCity,NewcastleUnited,0,0,1,0,0,1
CardiffCity,Southampton,1,1,1,0,0,1
CardiffCity,TottenhamHotspur,0,0,1,3,3,1
CardiffCity,Watford,1,1,1,5,5,1
CardiffCity,WestHamUnited,2,2,1,0,0,1
CardiffCity,WolverhamptonWanderers,2,2,1,1,1,1
Chelsea,AFCBournemouth,2,2,1,0,0,1
Chelsea,Arsenal,3,3,1,2,2,1
Chelsea,BrightonandHoveAlbion,3,3,1,0,0,1
Chelsea,Burnley,2,2,1,2,2,1
Chelsea,CardiffCity,4,4,1,1,1,1
Chelsea,CrystalPalace,3,3,1,1,1,1
Chelsea,Everton,0,0,1,0,0,1
Chelsea,Fulham,2,2,1,0,0,1
Chelsea,HuddersfieldTownAFC,5,5,1,0,0,1
Chelsea,LeicesterCity,0,0,1,1,1,1
Chelsea,Liverpool,1,1,1,1,1,1
Chelsea,ManchesterCity,2,2,1,0,0,1
Chelsea,ManchesterUnited,2,2,1,2,2,1
Chelsea,NewcastleUnited,2,2,1,1,1,1
Chelsea,Southampton,0,0,1,0,0,1
Chelsea,TottenhamHotspur,2,2,1,0,0,1
Chelsea,Watford,3,3,1,0,0,1
Chelsea,WestHamUnited,2,2,1,0,0,1
Chelsea,WolverhamptonWanderers,1,1,1,1,1,1
CrystalPalace,AFCBournemouth,5,5,1,3,3,1
CrystalPalace,Arsenal,2,2,1,2,2,1
CrystalPalace,BrightonandHoveAlbion,1,1,1,2,2,1
CrystalPalace,Burnley,2,2,1,0,0,1
CrystalPalace,CardiffCity,0,0,1,0,0,1
CrystalPalace,Chelsea,0,0,1,1,1,1
CrystalPalace,Everton,0,0,1,0,0,1
CrystalPalace,Fulham,2,2,1,0,0,1
CrystalPalace,HuddersfieldTownAFC,1,1,1,2,2,1
CrystalPalace,LeicesterCity,1,1,1,0,0,1
CrystalPalace,Liverpool,0,0,1,2,2,1
CrystalPalace,ManchesterCity,1,1,1,3,3,1
CrystalPalace,ManchesterUnited,1,1,1,3,3,1
CrystalPalace,NewcastleUnited,0,0,1,0,0,1
CrystalPalace,Southampton,0,0,1,2,2,1
CrystalPalace,TottenhamHotspur,0,0,1,1,1,1
CrystalPalace,Watford,1,1,1,2,2,1
CrystalPalace,WestHamUnited,1,1,1,1,1,1
CrystalPalace,WolverhamptonWanderers,0,0,1,1,1,1
Everton,AFCBournemouth,2,2,1,0,0,1
Everton,Arsenal,1,1,1,0,0,1
